Leg,Route,From_ICAO,To_ICAO,Distance_km,IsEmptyFerry,Payload_t,Dep_UK,Del_UK,Window_hr,Flight_hr,RefuelStops,BlockTime_hr,Landings,Margin_hr,Turnaround_hr,Notes
0,Leg 00 | LHR → MEL  [Season Start],EGLL,YMML,16847,0,122.666666666667,02-Mar-2026 23:39,03-Mar-2026 21:00,21.3411328622808,19.3411328622808,1,21.3411328622808,2,-3.5527136788005e-15,0,Pre-season fleet positioning from UK; departure = latest possible
1,Leg 01 | MEL → PVG,YMML,ZSPD,8018,0,122.666666666667,09-Mar-2026 20:00,11-Mar-2026 00:00,28,9.20503373240148,0,9.20503373240148,1,18.7949662675985,18.7949662675985,
2,Leg 02 | PVG → NGO,ZSPD,RJGG,1457,0,122.666666666667,16-Mar-2026 23:00,24-Mar-2026 23:00,192,1.67270318634435,0,1.67270318634435,1,190.327296813656,190.327296813656,
3,Leg 03 | NGO → BAH,RJGG,OBBI,8052,0,122.666666666667,30-Mar-2026 22:00,08-Apr-2026 06:00,200,9.24406730023656,0,9.24406730023656,1,190.755932699763,190.755932699763,
4,Leg 04 | BAH → JED,OBBI,OEJN,1272,0,122.666666666667,14-Apr-2026 08:00,15-Apr-2026 06:00,22,1.46031465547701,0,1.46031465547701,1,20.539685344523,20.539685344523,
5,Leg 05 | JED → MIA,OEJN,KMIA,11621,0,122.666666666667,21-Apr-2026 10:00,29-Apr-2026 13:00,195,13.3414438768069,1,15.3414438768069,2,179.658556123193,179.658556123193,
6,Leg 06 | MIA → YUL,KMIA,CYUL,2264,0,122.666666666667,05-May-2026 13:00,20-May-2026 13:00,360,2.59917639937103,0,2.59917639937103,1,357.400823600629,357.400823600629,
7,Leg 07 | YUL → NCE,CYUL,LFMN,6129,0,122.666666666667,26-May-2026 11:00,03-Jun-2026 07:00,188,7.03637462532909,0,7.03637462532909,1,180.963625374671,180.963625374671,
8,Leg 08 | NCE → MAD  [EMPTY — PARK START],LFMN,LEMD,957,1,0,09-Jun-2026 06:00,09-Jun-2026 07:05,1.09868012994615,1.09868012994615,0,1.09868012994615,1,0,0,Fleet flies empty to Madrid. PARKING BEGINS. Races 9-15 covered by road/sea.
9,Leg 09 | MAD → GYD  [PARK END],LEMD,UBBB,4462,0,122.666666666667,15-Sep-2026 06:00,23-Sep-2026 05:00,191,5.12258175529751,0,5.12258175529751,1,185.877418244702,185.877418244702,PARKING ENDS. Departs after Race 16 Madrid.
10,Leg 10 | GYD → SIN,UBBB,WSSS,6940,0,122.666666666667,29-Sep-2026 04:00,07-Oct-2026 01:00,189,7.96744002280697,0,7.96744002280697,1,181.032559977193,181.032559977193,
11,Leg 11 | SIN → AUS,WSSS,KAUS,15821,0,122.666666666667,13-Oct-2026 05:00,21-Oct-2026 14:00,201,18.1632375505517,1,20.1632375505517,2,180.836762449448,180.836762449448,
12,Leg 12 | AUS → MEX  [EMPTY — PARK START],KAUS,MMMX,1204,1,0,27-Oct-2026 11:00,27-Oct-2026 12:22,1.38224751980686,1.38224751980686,0,1.38224751980686,1,0,0,Fleet flies empty to Mexico City. PARKING BEGINS until Race 20.
13,Leg 13 | MEX → GRU  [PARK END],MMMX,SBGR,7433,0,122.666666666667,03-Nov-2026 12:00,04-Nov-2026 11:00,23,8.53342675641559,0,8.53342675641559,1,14.4665732435844,14.4665732435844,PARKING ENDS. Departs after Race 20 Mexico City.
14,Leg 14 | GRU → LAS,SBGR,KLAS,9782,0,122.666666666667,10-Nov-2026 10:00,17-Nov-2026 16:00,174,11.2301870753743,1,13.2301870753743,2,160.769812924626,160.769812924626,
15,Leg 15 | LAS → DOH,KLAS,OTHH,13053,0,122.666666666667,23-Nov-2026 22:00,25-Nov-2026 05:00,31,14.9854459103313,1,16.9854459103313,2,14.0145540896687,14.0145540896687,
16,Leg 16 | DOH → AUH,OTHH,OMAA,321,0,122.666666666667,01-Dec-2026 09:00,02-Dec-2026 04:00,19,0.368522802207642,0,0.368522802207642,1,18.6314771977924,18.6314771977924,
17,Leg 17 | AUH → LHR  [Season End],OMAA,EGLL,5454,0,122.666666666667,08-Dec-2026 05:00,08-Dec-2026 11:15,6.26144349919153,6.26144349919153,0,6.26144349919153,1,0,0,Post-season fleet return to UK
