Leg,Route,From_ICAO,To_ICAO,Distance_km,IsEmptyFerry,Payload_t,Dep_UK,Del_UK,Window_hr,Flight_hr,RefuelStops,BlockTime_hr,Landings,Margin_hr,Turnaround_hr,Notes
0,Leg 00 | LHR → MEL  [Season Start],EGLL,YMML,16847,0,147.2,02-Mar-2026 19:10,03-Mar-2026 21:00,25.8246611838379,19.8246611838379,3,25.8246611838379,4,0,0,Pre-season fleet positioning from UK; departure = latest possible
1,Leg 01 | MEL → PVG,YMML,ZSPD,8018,0,147.2,09-Mar-2026 20:00,11-Mar-2026 00:00,28,9.43515957571152,1,11.4351595757115,2,16.5648404242885,16.5648404242885,
2,Leg 02 | PVG → NGO,ZSPD,RJGG,1457,0,147.2,16-Mar-2026 23:00,24-Mar-2026 23:00,192,1.71452076600295,0,1.71452076600295,1,190.285479233997,190.285479233997,
3,Leg 03 | NGO → BAH,RJGG,OBBI,8052,0,147.2,30-Mar-2026 22:00,08-Apr-2026 06:00,200,9.47516898274247,1,11.4751689827425,2,188.524831017258,188.524831017258,
4,Leg 04 | BAH → JED,OBBI,OEJN,1272,0,147.2,14-Apr-2026 08:00,15-Apr-2026 06:00,22,1.49682252186394,0,1.49682252186394,1,20.5031774781361,20.5031774781361,
5,Leg 05 | JED → MIA,OEJN,KMIA,11621,0,147.2,21-Apr-2026 10:00,29-Apr-2026 13:00,195,13.6749799737271,2,17.6749799737271,3,177.325020026273,177.325020026273,
6,Leg 06 | MIA → YUL,KMIA,CYUL,2264,0,147.2,05-May-2026 13:00,20-May-2026 13:00,360,2.66415580935531,0,2.66415580935531,1,357.335844190645,357.335844190645,
7,Leg 07 | YUL → NCE,CYUL,LFMN,6129,0,147.2,26-May-2026 11:00,03-Jun-2026 07:00,188,7.21228399096232,1,9.21228399096232,2,178.787716009038,178.787716009038,
8,Leg 08 | NCE → MAD  [EMPTY — PARK START],LFMN,LEMD,957,1,0,09-Jun-2026 06:00,09-Jun-2026 07:07,1.1261471331948,1.1261471331948,0,1.1261471331948,1,0,0,Fleet flies empty to Madrid. PARKING BEGINS. Races 9-15 covered by road/sea.
9,Leg 09 | MAD → GYD  [PARK END],LEMD,UBBB,4462,0,147.2,15-Sep-2026 06:00,23-Sep-2026 05:00,191,5.25064629917994,0,5.25064629917994,1,185.74935370082,185.74935370082,PARKING ENDS. Departs after Race 16 Madrid.
10,Leg 10 | GYD → SIN,UBBB,WSSS,6940,0,147.2,29-Sep-2026 04:00,07-Oct-2026 01:00,189,8.16662602337714,1,10.1666260233771,2,178.833373976623,178.833373976623,
11,Leg 11 | SIN → AUS,WSSS,KAUS,15821,0,147.2,13-Oct-2026 05:00,21-Oct-2026 14:00,201,18.6173184893155,3,24.6173184893155,4,176.382681510684,176.382681510684,
12,Leg 12 | AUS → MEX  [EMPTY — PARK START],KAUS,MMMX,1204,1,0,27-Oct-2026 11:00,27-Oct-2026 12:25,1.41680370780203,1.41680370780203,0,1.41680370780203,1,0,0,Fleet flies empty to Mexico City. PARKING BEGINS until Race 20.
13,Leg 13 | MEX → GRU  [PARK END],MMMX,SBGR,7433,0,147.2,03-Nov-2026 12:00,04-Nov-2026 11:00,23,8.74676242532598,1,10.746762425326,2,12.253237574674,12.253237574674,PARKING ENDS. Departs after Race 20 Mexico City.
14,Leg 14 | GRU → LAS,SBGR,KLAS,9782,0,147.2,10-Nov-2026 10:00,17-Nov-2026 16:00,174,11.5109417522587,1,13.5109417522587,2,160.489058247741,160.489058247741,
15,Leg 15 | LAS → DOH,KLAS,OTHH,13053,0,147.2,23-Nov-2026 22:00,25-Nov-2026 05:00,31,15.3600820580896,2,19.3600820580896,3,11.6399179419104,11.6399179419104,
16,Leg 16 | DOH → AUH,OTHH,OMAA,321,0,147.2,01-Dec-2026 09:00,02-Dec-2026 04:00,19,0.377735872262833,0,0.377735872262833,1,18.6222641277372,18.6222641277372,
17,Leg 17 | AUH → LHR  [Season End],OMAA,EGLL,5454,0,147.2,08-Dec-2026 05:00,08-Dec-2026 13:25,8.41797958667132,6.41797958667132,1,8.41797958667132,2,0,0,Post-season fleet return to UK
