Span_m,MTOM_t,BlockFuel_t,OEM_t,WingArea_m2,AspectRatio
40,380.322939948937,112.942169697942,144.511398399478,122.5,10
42,386.419979676688,114.752010243803,148.806583243493,136.9,10
44,392.790758023395,116.645027949455,153.277802588252,152.1,10
46,399.366110185795,118.597590596921,157.903467871231,168.1,10
48,406.19714036518,120.626697482192,162.703572287127,184.9,10
50,413.285398150918,122.732579668943,167.681210266076,202.5,10
52,420.582206326762,124.898586954364,172.821348434787,220.9,10
54,428.200386747177,127.162338043257,178.167338901072,240.1,10
56,436.039425276452,129.48976578619,183.685391659381,260.1,10
58,444.213585818708,131.918850090209,189.420458647541,280.9,10
60,452.625722956356,134.416718667926,195.339418742286,302.5,10
