Leg,Route,From_ICAO,To_ICAO,Distance_km,IsEmptyFerry,Payload_t,Dep_UK,Del_UK,Window_hr,Flight_hr,RefuelStops,BlockTime_hr,Landings,Margin_hr,Turnaround_hr,Notes
0,Leg 00 | LHR → MEL  [Season Start],EGLL,YMML,16847,0,147.2,02-Mar-2026 22:20,03-Mar-2026 21:00,22.6585046436121,18.6585046436121,2,22.6585046436121,3,3.5527136788005e-15,0,Pre-season fleet positioning from UK; departure = latest possible
1,Leg 01 | MEL → PVG,YMML,ZSPD,8018,0,147.2,09-Mar-2026 20:00,11-Mar-2026 00:00,28,8.88015018890496,1,10.880150188905,2,17.119849811095,17.119849811095,
2,Leg 02 | PVG → NGO,ZSPD,RJGG,1457,0,147.2,16-Mar-2026 23:00,24-Mar-2026 23:00,192,1.6136666032969,0,1.6136666032969,1,190.386333396703,190.386333396703,
3,Leg 03 | NGO → BAH,RJGG,OBBI,8052,0,147.2,30-Mar-2026 22:00,08-Apr-2026 06:00,200,8.91780610140468,1,10.9178061014047,2,189.082193898595,189.082193898595,
4,Leg 04 | BAH → JED,OBBI,OEJN,1272,0,147.2,14-Apr-2026 08:00,15-Apr-2026 06:00,22,1.40877413822488,0,1.40877413822488,1,20.5912258617751,20.5912258617751,
5,Leg 05 | JED → MIA,OEJN,KMIA,11621,0,147.2,21-Apr-2026 10:00,29-Apr-2026 13:00,195,12.8705693870372,1,14.8705693870372,2,180.129430612963,180.129430612963,
6,Leg 06 | MIA → YUL,KMIA,CYUL,2264,0,147.2,05-May-2026 13:00,20-May-2026 13:00,360,2.50744076174617,0,2.50744076174617,1,357.492559238254,357.492559238254,
7,Leg 07 | YUL → NCE,CYUL,LFMN,6129,0,147.2,26-May-2026 11:00,03-Jun-2026 07:00,188,6.78803199149395,0,6.78803199149395,1,181.211968008506,181.211968008506,
8,Leg 08 | NCE → MAD  [EMPTY — PARK START],LFMN,LEMD,957,1,0,09-Jun-2026 06:00,09-Jun-2026 07:03,1.05990318418334,1.05990318418334,0,1.05990318418334,1,0,0,Fleet flies empty to Madrid. PARKING BEGINS. Races 9-15 covered by road/sea.
9,Leg 09 | MAD → GYD  [PARK END],LEMD,UBBB,4462,0,147.2,15-Sep-2026 06:00,23-Sep-2026 05:00,191,4.94178475216936,0,4.94178475216936,1,186.058215247831,186.058215247831,PARKING ENDS. Departs after Race 16 Madrid.
10,Leg 10 | GYD → SIN,UBBB,WSSS,6940,0,147.2,29-Sep-2026 04:00,07-Oct-2026 01:00,189,7.68623625729614,0,7.68623625729614,1,181.313763742704,181.313763742704,
11,Leg 11 | SIN → AUS,WSSS,KAUS,15821,0,147.2,13-Oct-2026 05:00,21-Oct-2026 14:00,201,17.5221821075911,1,19.5221821075911,2,181.477817892409,181.477817892409,
12,Leg 12 | AUS → MEX  [EMPTY — PARK START],KAUS,MMMX,1204,1,0,27-Oct-2026 11:00,27-Oct-2026 12:20,1.33346231322544,1.33346231322544,0,1.33346231322544,1,0,0,Fleet flies empty to Mexico City. PARKING BEGINS until Race 20.
13,Leg 13 | MEX → GRU  [PARK END],MMMX,SBGR,7433,0,147.2,03-Nov-2026 12:00,04-Nov-2026 11:00,23,8.2322469885421,0,8.2322469885421,1,14.7677530114579,14.7677530114579,PARKING ENDS. Departs after Race 20 Mexico City.
14,Leg 14 | GRU → LAS,SBGR,KLAS,9782,0,147.2,10-Nov-2026 10:00,17-Nov-2026 16:00,174,10.8338275315376,1,12.8338275315376,2,161.166172468462,161.166172468462,
15,Leg 15 | LAS → DOH,KLAS,OTHH,13053,0,147.2,23-Nov-2026 22:00,25-Nov-2026 05:00,31,14.4565478193785,1,16.4565478193785,2,14.5434521806215,14.5434521806215,
16,Leg 16 | DOH → AUH,OTHH,OMAA,321,0,147.2,01-Dec-2026 09:00,02-Dec-2026 04:00,19,0.355516115070902,0,0.355516115070902,1,18.6444838849291,18.6444838849291,
17,Leg 17 | AUH → LHR  [Season End],OMAA,EGLL,5454,0,147.2,08-Dec-2026 05:00,08-Dec-2026 11:02,6.04045137569065,6.04045137569065,0,6.04045137569065,1,0,0,Post-season fleet return to UK
